# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201102-20201108
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/quinterosviajes/hoteles/resultados/6923/0/palma-de-mallorca-espaa/18-06-2021/22-06-2021?h1=2,47,5,00:02:00,3,"0,00 %","6,38 %","0,00 US$"
/es/calipsoviajes/hoteles/resultados/1795/0/chicago-estados-unidos/10-08-2021/17-08-2021?h1=2,28,10,00:06:24,5,"40,00 %","32,14 %","0,00 US$"
/es/onetriplasrosas/hoteles/resultados/1441/0/buzios-brasil/20-02-2021/28-02-2021?h1=3,18,1,00:01:08,0,"0,00 %","5,56 %","0,00 US$"
"/es/melisamunoz/hoteles/resultados/6278/0/naples-estados-unidos/21-11-2020/30-11-2020?h1=2-5,10",15,4,00:02:01,1,"0,00 %","26,67 %","0,00 US$"
/es/onetriplasrosas/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/12-06-2021/19-06-2021?h1=2,14,6,00:01:19,1,"0,00 %","21,43 %","0,00 US$"
/es/turismoestaciondelsol/hoteles/resultados/1441/0/buzios-brasil/02-12-2020/10-12-2020?h1=2,14,3,00:06:01,1,"0,00 %","21,43 %","0,00 US$"
/es/yularaviajes/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/16-05-2021/24-05-2021?h1=2,14,3,00:04:11,1,"0,00 %","21,43 %","0,00 US$"
/es/ceibo/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/24-07-2022/31-07-2022?h1=2,13,6,00:01:26,6,"0,00 %","38,46 %","0,00 US$"
/es/onetriplasrosas/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/08-05-2021/17-05-2021?h1=2,12,3,00:01:20,1,"0,00 %","8,33 %","0,00 US$"
/es/tellevoviajes/hoteles/resultados/5077/0/lima-peru/25-11-2020/02-12-2020?h1=2,12,3,00:04:50,1,"0,00 %","25,00 %","0,00 US$"
/es/cambex/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/09-03-2021/14-03-2021?h1=2,11,2,00:02:26,0,"0,00 %","9,09 %","0,00 US$"
"/es/cosmopolitan/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/03-06-2021/17-06-2021?h1=2-8,10",11,2,00:03:12,0,"0,00 %","18,18 %","0,00 US$"
/es/lifetrip/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/01-05-2021/08-05-2021?h1=2,11,2,00:00:32,1,"0,00 %","9,09 %","0,00 US$"
/es/virginiaruiturismo/hoteles/resultados/5796/0/miami-fl-estados-unidos/15-12-2020/22-12-2020?h1=2,11,5,00:06:04,0,"0,00 %","27,27 %","0,00 US$"
/es/zeruanviajes/hoteles/resultados/1366/0/budapest-hungria/20-08-2021/24-08-2021?h1=2,11,2,00:05:55,1,"0,00 %","9,09 %","0,00 US$"
/es/zeruanviajes/hoteles/resultados/5165/0/londres-london-reino-unido/15-08-2021/18-08-2021?h1=2,11,4,00:06:54,3,"33,33 %","27,27 %","0,00 US$"
/es/globetrotters/hoteles/resultados/6386/0/new-york-nueva-york-estados-unidos/25-05-2021/01-06-2021?h1=2,10,2,00:06:39,1,"0,00 %","10,00 %","0,00 US$"
/es/gollua/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/28-08-2021/01-09-2021?h1=2,10,4,00:02:38,1,"0,00 %","10,00 %","0,00 US$"
/es/oliviatravel/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/23-12-2020/30-12-2020?h1=2,10,4,00:04:41,1,"0,00 %","20,00 %","0,00 US$"
