# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201107-20201108
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/newbiztravel/hoteles/resultados/7426/0/providenciales-islas-turcas-y-caicos/04-09-2021/12-09-2021?h1=2,5,1,00:00:13,0,"0,00 %","0,00 %","0,00 US$"
/es/onetrip/hoteles/resultados/2577/0/el-calafate-argentina/22-03-2021/25-03-2021?h1=2,5,1,00:01:07,0,"0,00 %","0,00 %","0,00 US$"
/es/zeruanviajes/hoteles/resultados/2468/0/dublin-irlanda/22-08-2021/24-08-2021?h1=2&h2=2&h3=2,5,1,00:05:28,1,"0,00 %","0,00 %","0,00 US$"
/es/almarviajes/hoteles/resultados/1441/0/buzios-brasil/06-02-2021/15-02-2021?h1=2-9,4,2,00:05:04,1,"0,00 %","50,00 %","0,00 US$"
/es/babelcarlospaz/hoteles/resultados/1441/0/buzios-brasil/10-03-2021/17-03-2021?h1=2,4,2,00:00:42,0,"0,00 %","50,00 %","0,00 US$"
/es/comdetur/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/21-02-2021/28-02-2021?h1=2,4,1,00:02:14,0,"0,00 %","25,00 %","0,00 US$"
/es/onetrip/hoteles/resultados/9622/0/ushuaia-argentina/18-03-2021/22-03-2021?h1=2,4,1,00:02:27,0,"0,00 %","25,00 %","0,00 US$"
/es/onetrip/productos/detalle/32804/iguazu-clasico?tipo=productos,4,1,00:03:20,0,"0,00 %","0,00 %","0,00 US$"
/es/viajelisto/hoteles/resultados/10355/0/maragogi-brasil/04-02-2021/12-02-2021?h1=2&h2=2,4,1,00:01:31,0,"0,00 %","25,00 %","0,00 US$"
/es/almarviajes/hoteles/resultados/7493/0/punta-cana-republica-dominicana/06-02-2021/15-02-2021?h1=2,3,1,00:00:15,0,"0,00 %","33,33 %","0,00 US$"
/es/comdetur/hoteles/resultados/10378/0/cayo-santa-maria-cuba/25-04-2021/05-05-2021?h1=2,3,1,00:09:58,1,"0,00 %","0,00 %","0,00 US$"
/es/melpatour/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/12-05-2021/17-05-2021?h1=2,3,2,00:01:25,0,"0,00 %","66,67 %","0,00 US$"
/es/mojonviajesturismo/hoteles/resultados/3800/0/iguazu-argentina/28-01-2021/03-02-2021?h1=4,3,1,00:00:04,1,"0,00 %","0,00 %","0,00 US$"
/es/morellaviajes/vuelos/resultados/COR/FLN/24-01-2021/?adultos=2&menores=CHD,3,1,00:00:35,0,"0,00 %","0,00 %","0,00 US$"
/es/onetrip/hoteles/resultados/3800/0/iguazu-argentina/21-02-2021/28-02-2021?h1=2-3,3,1,00:04:49,0,"0,00 %","0,00 %","0,00 US$"
/es/quinterosviajes/hoteles/resultados/5972/0/montego-bay-jamaica/20-10-2021/30-10-2021?h1=2,3,2,00:01:49,0,"0,00 %","0,00 %","0,00 US$"
/es/almarviajes/hoteles/resultados/1441/0/buzios-brasil/06-02-2021/15-02-2021?h1=2,2,1,00:02:13,0,"0,00 %","0,00 %","0,00 US$"
/es/almarviajes/hoteles/resultados/1441/0/buzios-brasil/16-01-2021/25-01-2021?h1=2-9,2,1,00:03:22,0,"0,00 %","0,00 %","0,00 US$"
/es/almarviajes/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/06-02-2021/15-02-2021?h1=2,2,1,00:02:25,0,"0,00 %","0,00 %","0,00 US$"
/es/avallone/productos/detalle/32818/buenos-aires-clasico,2,1,00:02:21,0,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/10346/0/bayahibe-republica-dominicana/06-05-2021/11-05-2021?h1=2,2,1,00:02:59,0,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/1441/0/buzios-brasil/03-01-2021/09-01-2021?h1=2,2,1,00:04:08,0,"0,00 %","0,00 %","0,00 US$"
