onetriparguello,administracion,estado-cuenta,107,78,00:07:27,17,"57
onetriplasrosas,administracion,estado-cuenta,94,54,00:02:42,5,"0
marielalonneturismo,administracion,estado-cuenta,79,63,00:05:57,9,"22
babelcarlospaz,administracion,estado-cuenta,78,55,00:03:27,2,"50
austerdmc,administracion,estado-cuenta,77,55,00:03:18,1,"0
mooreatravel,administracion,estado-cuenta,76,60,00:03:52,7,"57
delfos,administracion,estado-cuenta,68,46,00:00:58,4,"0
onetrip,administracion,estado-cuenta,68,47,00:03:07,1,"100
himalayarioiv,administracion,estado-cuenta,67,44,00:05:40,1,"0
,administracion,estado-cuenta,66,63,00:04:16,5,"0
oxalatravelgroup,administracion,estado-cuenta,64,59,00:02:15,2,"0
onetripcarlospaz,administracion,estado-cuenta,57,47,00:05:38,8,"50
ceiboviajes,administracion,estado-cuenta,50,39,00:00:48,1,"100
cristinagalvanconsultoradeviajes,administracion,estado-cuenta,47,42,00:05:36,3,"66
nelquihueviajes,administracion,estado-cuenta,46,34,00:03:29,1,"100
quinterosviajes,administracion,estado-cuenta,45,40,00:03:05,3,"33
rotarviajes,administracion,estado-cuenta,41,28,00:01:51,1,"0
sunflower,administracion,estado-cuenta,41,24,00:02:07,4,"25
batiaviajesyturismo,administracion,estado-cuenta,40,31,00:02:49,1,"0
dipviajes,administracion,estado-cuenta,40,35,00:11:43,8,"71
himalayacordillera,administracion,estado-cuenta,40,33,00:06:34,6,"60
laspalmeras,administracion,estado-cuenta,40,35,00:06:41,2,"100
borniegoviajesyturismoevt,administracion,estado-cuenta,38,23,00:02:01,3,"33
cuscaruca,administracion,estado-cuenta,38,21,00:01:49,0,"0
laalcarriaviajes,administracion,estado-cuenta,38,29,00:03:17,4,"0
arvillamaria,administracion,estado-cuenta,37,28,00:01:53,1,"0
pelossotravel,administracion,estado-cuenta,36,24,00:01:46,6,"50
veronicareig,administracion,estado-cuenta,36,25,00:03:20,2,"50
crdtravel,administracion,estado-cuenta,35,33,00:05:25,2,"100
sofiaevelynhernandoturismointernacional,administracion,estado-cuenta,35,27,00:01:48,2,"0
aterrizandosuenos,administracion,estado-cuenta,33,31,00:07:43,5,"0
martineztravelgroup,administracion,estado-cuenta,33,24,00:03:59,2,"100
fpasesoramientosturisticossrl,administracion,estado-cuenta,31,26,00:03:28,1,"0
tuyuviajes,administracion,estado-cuenta,31,21,00:05:29,0,"0
minsk,administracion,estado-cuenta,30,23,00:01:46,1,"100
amitieevt,administracion,estado-cuenta,29,21,00:00:38,0,"0
circuitosviajesyturismo,administracion,estado-cuenta,29,15,00:00:21,1,"0
expendertravel,administracion,estado-cuenta,29,24,00:06:10,0,"0
guviajes,administracion,estado-cuenta,28,14,00:01:37,1,"0
samsara,administracion,estado-cuenta,28,23,00:04:29,1,"100
atamatoturismo,administracion,estado-cuenta,27,17,00:01:36,6,"50
adsmundo,administracion,estado-cuenta,25,16,00:05:04,2,"0
eilatsanlorenzo,administracion,estado-cuenta,25,22,00:04:29,0,"0
expenderviajes,administracion,estado-cuenta,25,23,00:04:29,4,"33
gollua,administracion,estado-cuenta,25,20,00:03:26,0,"0
norma,administracion,estado-cuenta,25,24,00:07:35,0,"0
sawayturismo,administracion,estado-cuenta,25,16,00:01:14,2,"50
himalayaviajescordoba,administracion,estado-cuenta,24,21,00:04:56,1,"100
