# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201102-20201102
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/quinterosviajes/hoteles/resultados/6923/0/palma-de-mallorca-espaa/18-06-2021/22-06-2021?h1=2,30,2,00:01:22,2,"0,00 %","6,67 %","0,00 US$"
/es/onetriplasrosas/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/08-05-2021/17-05-2021?h1=2,12,3,00:01:20,1,"0,00 %","8,33 %","0,00 US$"
/es/zeruanviajes/hoteles/resultados/1366/0/budapest-hungria/20-08-2021/24-08-2021?h1=2,11,2,00:05:55,1,"0,00 %","9,09 %","0,00 US$"
/es/zeruanviajes/hoteles/resultados/5165/0/londres-london-reino-unido/15-08-2021/18-08-2021?h1=2,11,4,00:06:54,3,"33,33 %","27,27 %","0,00 US$"
/es/calipsoviajes/hoteles/resultados/1795/0/chicago-estados-unidos/10-08-2021/17-08-2021?h1=2,9,3,00:10:41,1,"0,00 %","22,22 %","0,00 US$"
"/es/gollua/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/10-12-2020/17-12-2020?h1=2-6,6&h2=1-9",9,1,00:02:09,0,"0,00 %","0,00 %","0,00 US$"
/es/lifetrip/hoteles/resultados/1441/0/buzios-brasil/13-06-2021/20-06-2021?h1=3,9,1,00:04:26,1,"0,00 %","0,00 %","0,00 US$"
/es/quinterosviajes/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/17-04-2021/27-04-2021?h1=2-17,9,1,00:01:13,0,"0,00 %","0,00 %","0,00 US$"
/es/KaizenViajes/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/04-03-2021/14-03-2021?h1=2,8,1,00:03:12,1,"0,00 %","12,50 %","0,00 US$"
/es/tellevoviajes/hoteles/resultados/5077/0/lima-peru/25-11-2020/02-12-2020?h1=2,8,2,00:06:29,1,"0,00 %","25,00 %","0,00 US$"
/es/zonadepartida/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/12-11-2020/19-11-2020?h1=2-13,8,1,00:02:00,0,"0,00 %","12,50 %","0,00 US$"
/es/ceiboviajes/vuelos/resultados/BUE/PUJ/12-05-2021/19-05-2021?adultos=1,7,3,00:03:11,1,"0,00 %","0,00 %","0,00 US$"
/es/lifetrip/hoteles/resultados/7753/0/rio-de-janeiro-brasil/20-06-2021/21-06-2021?h1=2,7,1,00:00:53,0,"0,00 %","14,29 %","0,00 US$"
/es/vorano/hoteles/resultados/1612/0/cartagena-colombia/27-06-2021/06-07-2021?h1=2,7,1,00:02:43,0,"0,00 %","14,29 %","0,00 US$"
/es/agapeturismo/hoteles/resultados/7493/0/punta-cana-republica-dominicana/10-05-2021/20-05-2021?h1=2,6,1,00:01:53,0,"0,00 %","16,67 %","0,00 US$"
/es/KaizenViajes/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/10-03-2021/14-03-2021?h1=2,6,1,00:00:49,0,"0,00 %","0,00 %","0,00 US$"
/es/onetrip/hoteles/resultados/9622/0/ushuaia-argentina/14-01-2021/18-01-2021?h1=2,6,1,00:03:06,1,"0,00 %","0,00 %","0,00 US$"
/es/onetriplasrosas/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/20-02-2021/02-03-2021?h1=2-6,6,1,00:00:41,0,"0,00 %","0,00 %","0,00 US$"
/es/safari/hoteles/resultados/7493/0/punta-cana-republica-dominicana/06-02-2021/12-02-2021?h1=2,6,1,00:00:26,0,"0,00 %","16,67 %","0,00 US$"
/es/viajelisto/hoteles/resultados/5796/0/miami-fl-estados-unidos/06-02-2021/13-02-2021?h1=2,6,1,00:01:13,1,"0,00 %","0,00 %","0,00 US$"
/es/viajesfinde/productos/detalle/32804/iguazu-clasico?tipo=productos,6,3,00:04:10,0,"0,00 %","33,33 %","0,00 US$"
/es/ceiboviajes/vuelos/resultados/BUE/CUN/10-03-2021/17-03-2021?adultos=1,5,3,00:02:15,1,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/vuelos/resultados/BUE/PUJ/03-03-2021/10-03-2021?adultos=1,5,4,00:03:14,0,"0,00 %","0,00 %","0,00 US$"
/es/oliviatravel/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/23-12-2020/30-12-2020?h1=2,5,1,00:01:55,1,"0,00 %","20,00 %","0,00 US$"
"/es/pristine/hoteles/resultados/7493/0/punta-cana-republica-dominicana/02-11-2021/12-11-2021?h1=2-5,10",5,1,00:02:52,0,"0,00 %","0,00 %","0,00 US$"
/es/viajelisto/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/04-12-2021/14-12-2021?h1=2-4,5,2,00:03:41,0,"0,00 %","20,00 %","0,00 US$"
/es/argentur/hoteles/resultados/10365/0/angra-dos-reis-brasil/10-12-2020/17-12-2020?h1=2,4,1,00:01:54,0,"0,00 %","0,00 %","0,00 US$"
/es/argentur/hoteles/resultados/5796/0/miami-fl-estados-unidos/05-04-2021/12-04-2021?h1=2,4,1,00:01:38,0,"0,00 %","0,00 %","0,00 US$"
/es/balcarceviajes/hoteles/resultados/2577/0/el-calafate-argentina/30-01-2021/02-02-2021?h1=4,4,1,00:00:49,0,"0,00 %","25,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/08-11-2021/13-11-2021?h1=2,4,1,00:01:34,1,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/7493/0/punta-cana-republica-dominicana/01-07-2021/06-07-2021?h1=2,4,1,00:05:09,0,"0,00 %","25,00 %","0,00 US$"
/es/ceiboviajes/vuelos/resultados/BUE/CUN/03-03-2021/10-03-2021?adultos=1,4,2,00:01:55,0,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/vuelos/resultados/BUE/PUJ/08-09-2021/15-09-2021?adultos=1,4,3,00:01:08,0,"0,00 %","0,00 %","0,00 US$"
/es/delagranitaliaviajes/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/01-03-2021/06-03-2021?h1=4-15,4,1,00:03:10,0,"0,00 %","25,00 %","0,00 US$"
"/es/gollua/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/11-01-2021/18-01-2021?h1=2-6&h2=1-9,9",4,1,00:01:34,0,"0,00 %","0,00 %","0,00 US$"
"/es/gollua/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/13-12-2020/20-12-2020?h1=2-6,6&h2=1-9",4,1,00:01:17,0,"0,00 %","0,00 %","0,00 US$"
"/es/gollua/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/10-01-2021/17-01-2021?h1=2-6,6&h2=1-9",4,2,00:00:51,0,"0,00 %","25,00 %","0,00 US$"
