Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021
OXALA TRAVEL GROUP,AÉREO,163551.74,65392.49,1331.15,1998.87,7936.73,53529.96,12821.15,12506.54,24168.01,77102.77,16241.22,22998.81
OXALA TRAVEL GROUP,TERRESTRE,3545.56,3205.92,0.00,,4283.85,12766.29,3106.55,2388.46,8157.52,9917.37,2694.16,4075.84
VUELEONLINE.COM,AÉREO,24774.89,15980.62,569.59,4807.83,37804.05,61274.85,23335.72,9379.00,5104.80,5517.23,7768.53,9752.24
VUELEONLINE.COM,TERRESTRE,,1.77,,,247.80,3004.16,,2121.41,314.50,,4672.23,4940.09
ONE TRIP LAS ROSAS,AÉREO,18200.85,3936.03,27.57,3690.91,11666.19,26102.83,4137.03,1090.26,12526.38,12570.87,9787.61,866.42
ONE TRIP LAS ROSAS,TERRESTRE,3022.00,9289.00,5258.61,,4097.43,12057.60,3505.00,4600.00,12147.15,14917.81,10782.16,2511.28
ONE TRIP CASA CENTRAL,AÉREO,1031.02,,,7167.92,1739.48,34923.18,5229.80,2026.55,1777.61,9630.15,2461.16,4391.20
ONE TRIP CASA CENTRAL,TERRESTRE,3348.52,4700.77,,6489.60,2573.00,25239.13,5380.99,11684.48,12423.34,8331.51,8437.21,2764.77
LA ALCARRIA VIAJES Y T,AÉREO,18868.15,5581.09,,2725.79,36051.91,49781.13,4154.32,5467.39,5373.12,10074.26,4173.57,380.36
LA ALCARRIA VIAJES Y T,TERRESTRE,,,,,,,5875.83,,,,1284.89,758.67
HIMALAYA VILLA DOLORES,AÉREO,30301.04,2523.35,,,,9238.32,,2085.08,4186.55,12569.41,20477.94,1939.10
HIMALAYA VILLA DOLORES,TERRESTRE,5305.20,1861.00,,,,2612.77,36647.86,1403.51,,13165.13,340.60,
QUINTEROS VIAJES,AÉREO,,2956.65,,17285.64,,7531.66,3050.46,1643.29,2129.37,20019.80,9877.13,6486.96
QUINTEROS VIAJES,TERRESTRE,,,,,10999.85,18294.00,2000.00,4685.99,3041.38,14131.89,3691.59,855.82
IM VIAJES,AÉREO,24627.76,32686.76,,,3677.07,3396.64,1748.31,,5012.68,1522.37,,
IM VIAJES,TERRESTRE,10853.05,,,,4519.07,2933.95,,,,635.57,,3935.00
CONSUMIDOR FINAL COR P,AÉREO,8632.88,10245.65,,3006.15,5528.15,8554.42,2715.43,8143.29,3934.36,10141.89,13579.41,2104.63
CONSUMIDOR FINAL COR P,TERRESTRE,2134.44,92.50,,1690.00,143.84,3160.00,536.81,6845.45,42.87,,1534.67,
ONE TRIP ARGUELLO,AÉREO,4795.41,3660.91,,,1682.18,4429.59,373.92,,1385.63,20964.25,9610.43,10310.24
ONE TRIP ARGUELLO,TERRESTRE,3325.44,,,,,5241.73,,8088.70,,,5400.51,8843.45
SUNFLOWER,AÉREO,14576.62,4821.51,,,16442.86,4506.64,,1488.24,4726.69,4808.67,7690.14,
SUNFLOWER,TERRESTRE,2278.22,24.55,,6719.00,1799.88,,9857.00,,2638.00,1724.85,,779.00
ZONA DE PARTIDA,AÉREO,22182.97,20584.08,,,2794.04,,,,,,,
ZONA DE PARTIDA,TERRESTRE,4400.00,652.06,,,,13195.00,1738.00,,2250.28,11148.43,215.03,4388.11
TAHITI TRAVEL,AÉREO,19446.25,18757.10,,,9174.30,3336.23,6972.89,,5733.19,7922.15,667.55,2535.27
TAHITI TRAVEL,TERRESTRE,4321.00,816.97,,,,,,,,2378.03,,
ALCON VIAJES,AÉREO,14712.93,2530.29,,,2459.87,18350.64,1376.18,,,1678.70,,
ALCON VIAJES,TERRESTRE,2868.74,,,2312.00,4934.27,19151.16,3492.04,,1224.60,1889.68,759.32,3991.36
SOUTHBOUND TRAVEL,AÉREO,658.40,,,,16964.25,,,,1133.63,3977.99,945.25,2837.64
SOUTHBOUND TRAVEL,TERRESTRE,1452.41,6762.05,7166.25,336.19,25684.15,,,,,7487.95,1142.67,1544.61
ROMINA VANESA ANSELMO,AÉREO,2899.62,291.23,,,3262.26,18214.75,25684.89,1510.85,3677.71,1233.49,7366.09,378.88
ROMINA VANESA ANSELMO,TERRESTRE,,,,,3840.28,3605.82,,,,,3188.24,
CRISTINA GALVAN- CONSU,AÉREO,30365.09,4340.92,,,1746.29,7923.20,,,,5796.51,9373.93,2067.06
CRISTINA GALVAN- CONSU,TERRESTRE,55.78,1948.97,,,,2537.23,,,305.60,1878.62,4158.34,965.33
PELOSSO TRAVEL,AÉREO,28005.65,1191.47,,,,4823.68,2585.61,,1629.10,16795.83,59.17,1137.45
PELOSSO TRAVEL,TERRESTRE,,,168.33,144.16,,6997.00,648.21,335.66,,,146.43,449.89
TU VIAJE CLICK S.R.L,AÉREO,29364.93,12039.51,,,1913.75,,,1493.93,,12644.43,419.04,1362.36
TU VIAJE CLICK S.R.L,TERRESTRE,804.94,259.93,,,1000.00,,,,,2463.94,,
DPTO DE TURISMO ASOC M,AÉREO,12234.54,994.23,,616.40,6789.86,3712.47,6598.79,,755.28,2247.65,,
DPTO DE TURISMO ASOC M,TERRESTRE,3098.64,4301.54,2053.92,,,2369.05,811.00,7053.00,,3151.07,1840.37,
BETEL TURISMO,AÉREO,23731.92,4924.32,,,,13892.93,2209.58,734.35,1558.04,2198.77,1014.44,3330.27
BETEL TURISMO,TERRESTRE,,,,,,,3550.12,,,,1142.41,
MUTUAL 9 DE JULIO,AÉREO,,2252.11,,,,,15852.13,,,,,236.51
MUTUAL 9 DE JULIO,TERRESTRE,13556.44,620.32,,535.26,6711.86,,2174.90,,,1224.96,10164.42,463.80
F & P ASESORAMIENTOS T,AÉREO,26245.43,5689.73,,3220.36,9811.64,6132.13,2304.62,,,,,
F&P ASESORAMIENTOS TUR,AÉREO,,,,,,,,,2792.80,7471.01,12469.16,775.10
F&P ASESORAMIENTOS TUR,TERRESTRE,,478.95,989.00,,3100.00,3445.00,,,,10719.26,6047.72,4692.00
AR VILLA MARIA RUMBOS,AÉREO,14946.54,6671.00,,,,,2374.04,6761.73,79.37,3411.74,2462.27,549.39
AR VILLA MARIA RUMBOS,TERRESTRE,1992.68,,462.00,,,1847.00,5531.00,2754.00,1213.38,,1886.05,
VUELE ONLINE-CLUB DE P,AÉREO,,,,,,,,15880.78,8721.96,11078.87,4034.87,9762.44
HIMALAYA CORDILLERA,AÉREO,12266.00,16.10,,,,5842.59,2687.75,,2441.23,926.15,173.00,181.14
HIMALAYA CORDILLERA,TERRESTRE,10534.30,954.00,,,,3420.25,689.00,1506.00,,1663.58,2491.14,499.69
ZAMBRANA JORGE ALEJAN,AÉREO,,,,,,,,,,,45732.34,
PENINSULAR VIAJES Y TU,AÉREO,15646.32,433.79,,,1184.04,,1421.43,,,,,498.30
PENINSULAR VIAJES Y TU,TERRESTRE,3274.64,2849.97,,,,,2698.42,15817.42,,,506.36,617.26
SADOP,AÉREO,29838.80,9406.24,,,,,,,,2703.56,,531.32
SADOP,TERRESTRE,416.40,,,,,,,,,,,
TRAMUNTANA,AÉREO,,,,,,,,,,1620.86,,
TRAMUNTANA,TERRESTRE,11872.62,3453.53,,10633.00,1556.48,,,,,9154.00,1152.00,1769.00
POTENZA VIAJES,AÉREO,14483.88,6638.28,,,,1771.68,4539.53,723.91,,902.94,5376.71,
POTENZA VIAJES,TERRESTRE,3304.15,173.03,,,,,,1585.00,,,236.00,757.00
DE LA GRAN ITALIA VIAJ,AÉREO,1381.77,2185.21,,,,6883.76,1601.92,,922.18,2924.47,3301.73,4673.33
DE LA GRAN ITALIA VIAJ,TERRESTRE,988.53,,,,,3071.12,,805.57,2974.76,3908.18,2574.13,1030.53
NO USAR** EXPENDER TRA,AÉREO,12445.88,4223.58,,81.78,10091.58,8972.11,3069.93,,,,,
NO USAR** EXPENDER TRA,TERRESTRE,61.74,,,,,,,,,,,
**** NO USAR*******EXP,AÉREO,,,,,,,,27413.32,4125.05,5488.60,1396.72,
JOSEFINA TRAVEL,AÉREO,,,,,4140.81,3417.73,973.55,,464.42,,,
JOSEFINA TRAVEL,TERRESTRE,,,,,3905.04,9339.85,,,361.73,11345.74,2277.08,1867.02
HIMALAYA VILLA DEL ROS,AÉREO,18236.44,,,,2042.23,902.46,,2846.30,,,320.42,
HIMALAYA VILLA DEL ROS,TERRESTRE,2591.22,,,,1822.00,,,3740.26,981.00,,3352.32,
TRAVEL WISE,AÉREO,3375.01,1780.76,,,1754.15,2134.57,,,,,,
TRAVEL WISE,TERRESTRE,51.85,392.00,287.22,,4711.73,7090.79,4122.00,1285.23,1930.00,2163.26,,4792.98
LUIS SANZ,AÉREO,499.99,3682.43,,,35.43,439.98,,,895.12,,5678.84,
LUIS SANZ,TERRESTRE,3047.25,432.00,,4800.00,9760.34,,,2152.11,,1351.66,2199.54,
ARGENTUR,AÉREO,10020.70,3453.48,,3563.44,1310.79,12814.55,,621.80,,,2723.08,213.59
ZAFIRO  VIAJES,AÉREO,20905.57,11669.73,,,,1710.26,,,,,50.71,
SEASONS TOURS,AÉREO,,,,,,1749.76,,,,,,
SEASONS TOURS,TERRESTRE,,,,,28175.99,1726.07,2105.65,,,,,
ASOCIACION MUTUAL SANC,AÉREO,2122.22,1075.23,,,10538.70,2457.68,36.78,,,1260.98,,1997.65
ASOCIACION MUTUAL SANC,TERRESTRE,737.86,1.90,,,5944.68,,332.27,,2120.39,613.61,,3067.35
TOURION,AÉREO,16816.48,1662.71,,,,,,,,,,
TOURION,TERRESTRE,1670.87,2120.04,3290.60,,,,5877.55,,,,,
ALEXANDRIA VIAJES Y TU,AÉREO,11858.90,,,,,,,,,,,
ALEXANDRIA VIAJES Y TU,TERRESTRE,12538.24,,737.53,,,,,,1079.61,,725.99,3432.42
GRUPO RAYS,TERRESTRE,,,,,,,,,,20393.26,2063.21,6895.79
ESSENYA,AÉREO,15048.72,7708.88,,54.79,,,,,250.44,210.39,1633.08,766.11
ESSENYA,TERRESTRE,,,,,,,,,,,1819.15,
ONE TRIP CARLOS PAZ,AÉREO,56.67,168.48,,,,,,1183.02,,144.39,4092.22,1609.91
ONE TRIP CARLOS PAZ,TERRESTRE,403.24,,,,,1155.00,4050.00,5802.00,,5522.79,794.27,2111.91
NAMUR VIAJES,AÉREO,12960.48,529.53,,,,,,,866.31,,3639.79,
NAMUR VIAJES,TERRESTRE,2450.38,,712.56,,,3310.00,,,,,2111.00,
GAFAMEL VIAJES Y TURIS,AÉREO,,,,,,734.90,,1111.86,7657.20,346.12,16460.43,
GAFAMEL VIAJES Y TURIS,TERRESTRE,,,,,,,,,,,,38.89
GRUPO ROL-SOL-OPERADOR,AÉREO,15217.97,10155.63,,,,,,,,,,
