	Cliente	SECTOR NEGOCIO	9/1/2020	10/1/2020	11/1/2020	12/1/2020	1/1/2021
0	OXALA TRAVEL GROUP	AÉREO	998.87"	"7	936.73"	"53	529.96"
1	OXALA TRAVEL GROUP	TERRESTRE	283.85"	"12	766.29"	"3	106.55"
2	VUELEONLINE.COM	AÉREO	"37	804.05"	"61	274.85"	"23
3	VUELEONLINE.COM	TERRESTRE		"2	121.41"	314.50	
4	ONE TRIP LAS ROSAS	AÉREO	"11	666.19"	"26	102.83"	"4
5	ONE TRIP LAS ROSAS	TERRESTRE	"4	097.43"	"12	057.60"	"3
6	ONE TRIP CASA CENTRAL	AÉREO	739.48"	"34	923.18"	"5	229.80"
7	ONE TRIP CASA CENTRAL	TERRESTRE	"2	573.00"	"25	239.13"	"5
8	LA ALCARRIA VIAJES Y T	AÉREO	"36	051.91"	"49	781.13"	"4
9	LA ALCARRIA VIAJES Y T	TERRESTRE	875.83"				"1
10	HIMALAYA VILLA DOLORES	AÉREO	"9	238.32"		"2	085.08"
11	HIMALAYA VILLA DOLORES	TERRESTRE	"2	612.77"	"36	647.86"	"1
12	QUINTEROS VIAJES	AÉREO	"7	531.66"	"3	050.46"	"1
13	QUINTEROS VIAJES	TERRESTRE	294.00"	"2	000.00"	"4	685.99"
14	IM VIAJES	AÉREO	677.07"	"3	396.64"	"1	748.31"
15	IM VIAJES	TERRESTRE	"2	933.95"			
16	CONSUMIDOR FINAL COR P	AÉREO	"5	528.15"	"8	554.42"	"2
17	CONSUMIDOR FINAL COR P	TERRESTRE	"3	160.00"	536.81	"6	845.45"
18	ONE TRIP ARGUELLO	AÉREO	682.18"	"4	429.59"	373.92	
19	ONE TRIP ARGUELLO	TERRESTRE	241.73"		"8	088.70"	
20	SUNFLOWER	AÉREO	442.86"	"4	506.64"		"1
21	SUNFLOWER	TERRESTRE	799.88"		"9	857.00"	
22	ZONA DE PARTIDA	AÉREO	794.04"				
23	ZONA DE PARTIDA	TERRESTRE	195.00"	"1	738.00"		"2
24	TAHITI TRAVEL	AÉREO	174.30"	"3	336.23"	"6	972.89"
25	TAHITI TRAVEL	TERRESTRE				"2	378.03"
26	ALCON VIAJES	AÉREO	459.87"	"18	350.64"	"1	376.18"
