# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201029-20201029
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/agapeturismo/hoteles/resultados/6386/0/new-york-nueva-york-estados-unidos/10-09-2021/22-09-2021?h1=2,11,1,00:01:11,0,"0,00 %","9,09 %","0,00 US$"
/es/comdetur/hoteles/resultados/7493/0/punta-cana-republica-dominicana/08-03-2021/15-03-2021?h1=2,8,1,00:00:21,1,"0,00 %","12,50 %","0,00 US$"
/es/globetrotters/hoteles/resultados/6386/0/new-york-nueva-york-estados-unidos/25-05-2021/01-06-2021?h1=2&h2=2,7,1,00:01:37,0,"0,00 %","14,29 %","0,00 US$"
/es/onetriplasrosas/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/10-03-2021/17-03-2021?h1=2,7,1,00:03:28,0,"0,00 %","0,00 %","0,00 US$"
/es/sawayturismo/hoteles/resultados/2577/0/el-calafate-argentina/22-02-2021/26-02-2021?h1=2,7,2,00:03:08,1,"0,00 %","14,29 %","0,00 US$"
/es/delagranitaliaviajes/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/01-03-2021/06-03-2021?h1=2,6,2,00:09:06,1,"0,00 %","16,67 %","0,00 US$"
/es/guelcom/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/21-01-2021/28-01-2021?h1=2,6,1,00:04:33,0,"0,00 %","16,67 %","0,00 US$"
/es/onetriplasrosas/hoteles/resultados/1441/0/buzios-brasil/15-03-2021/22-03-2021?h1=2,6,1,00:02:43,0,"0,00 %","16,67 %","0,00 US$"
/es/sevenstravel/hoteles/resultados/9698/0/varadero-cuba/30-06-2021/06-07-2021?h1=2,6,2,00:00:50,0,"0,00 %","16,67 %","0,00 US$"
/es/altamira/hoteles/resultados/3658/0/holguin-cuba/23-06-2021/30-06-2021?h1=2,5,1,00:03:20,0,"0,00 %","0,00 %","0,00 US$"
/es/babelviajesvicentelopez/hoteles/resultados/1441/0/buzios-brasil/19-03-2021/26-03-2021?h1=2,5,1,00:01:22,0,"0,00 %","20,00 %","0,00 US$"
/es/crdtravel/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/21-12-2020/02-01-2021?h1=1,5,3,00:00:58,2,"100,00 %","40,00 %","0,00 US$"
/es/guayku/vuelos/resultados/RES/BRC/01-02-2021/08-02-2021?adultos=1,5,4,00:05:10,3,"0,00 %","20,00 %","0,00 US$"
/es/guelcom/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/02-02-2021/09-02-2021?h1=2,5,1,00:05:13,0,"0,00 %","0,00 %","0,00 US$"
/es/algarroboviajesyturismo/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/06-01-2021/10-01-2021?h1=2&h2=2,4,1,00:07:47,0,"0,00 %","25,00 %","0,00 US$"
/es/gollua/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/28-08-2021/01-09-2021?h1=2,4,1,00:09:18,0,"0,00 %","25,00 %","0,00 US$"
"/es/guayku/hoteles/resultados/3800/0/iguazu-argentina/04-02-2021/10-02-2021?h1=2-4,5",4,2,00:02:43,0,"0,00 %","25,00 %","0,00 US$"
/es/melisamunoz/hoteles/resultados/8066/0/salta-argentina/01-04-2021/04-04-2021?h1=2,4,1,00:04:16,0,"0,00 %","0,00 %","0,00 US$"
/es/oxalatravelgroup/hoteles/resultados/2577/0/el-calafate-argentina/07-01-2021/10-01-2021?h1=2,4,1,00:00:24,0,"0,00 %","25,00 %","0,00 US$"
/es/plustraveluy/hoteles/resultados/7493/0/punta-cana-republica-dominicana/03-12-2020/10-12-2020?h1=2,4,2,00:07:32,0,"0,00 %","0,00 %","0,00 US$"
/es/pymviajes/hoteles/resultados/7493/0/punta-cana-republica-dominicana/16-05-2021/26-05-2021?h1=2-0-1,4,1,00:09:01,0,"0,00 %","25,00 %","0,00 US$"
/es/radarviajes/hoteles/resultados/10350/0/porto-de-galinhas-brasil/01-07-2021/08-07-2021?h1=2,4,1,00:01:04,0,"0,00 %","25,00 %","0,00 US$"
/es/zonadepartida/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/18-11-2020/25-11-2020?h1=2-13,4,1,00:01:00,0,"0,00 %","25,00 %","0,00 US$"
/es/asocmutual9dejuliofreyre/productos/detalle/32804/iguazu-clasico,3,1,00:07:21,0,"0,00 %","0,00 %","0,00 US$"
/es/asocmutual9dejuliofreyre/productos/detalle/43576/salta-mountain-bike-cuesta-del-obispo,3,1,00:04:12,0,"0,00 %","33,33 %","0,00 US$"
/es/babelviajesvicentelopez/hoteles/resultados/1441/0/buzios-brasil/05-04-2021/12-04-2021?h1=2,3,1,00:00:46,0,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/10346/0/bayahibe-republica-dominicana/12-10-2021/19-10-2021?h1=2,3,2,00:04:13,1,"0,00 %","33,33 %","0,00 US$"
"/es/comdetur/hoteles/resultados/6792/0/orlando-estados-unidos/28-12-2020/04-01-2021?h1=2-9,7",3,2,00:00:14,2,"50,00 %","66,67 %","0,00 US$"
/es/globetrotters/hoteles/resultados/6386/0/new-york-nueva-york-estados-unidos/25-05-2021/01-06-2021?h1=4,3,1,00:03:10,0,"0,00 %","0,00 %","0,00 US$"
/es/gollua/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/28-08-2021/11-09-2021?h1=2,3,1,00:01:33,0,"0,00 %","0,00 %","0,00 US$"
/es/himalayaviajescordoba/vuelos/resultados/COR/ARN/11-04-2021/?adultos=1,3,2,00:06:11,1,"0,00 %","0,00 %","0,00 US$"
/es/luissanz/hoteles/resultados/5116/0/lisboa-portugal/20-05-2021/22-05-2021?h1=2,3,1,00:00:34,0,"0,00 %","33,33 %","0,00 US$"
/es/nativaviajes/vuelos/resultados/BUE/BRC/09-08-2021/16-08-2021?adultos=4,3,2,00:01:32,1,"0,00 %","0,00 %","0,00 US$"
/es/onetrip/hoteles/resultados/7493/0/punta-cana-republica-dominicana/24-01-2021/31-01-2021?h1=1,3,2,00:00:42,0,"0,00 %","33,33 %","0,00 US$"
/es/serviciosaerocomercialessanluis/vuelos/resultados/LUQ/BUE/03-11-2020/?adultos=1&includeBaggage=true,3,1,00:14:07,0,"0,00 %","33,33 %","0,00 US$"
/es/sevenstravel/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/06-12-2020/12-12-2020?h1=2,3,1,00:00:20,0,"0,00 %","33,33 %","0,00 US$"
/es/sevenstravel/hoteles/resultados/9698/0/varadero-cuba/30-06-2021/10-07-2021?h1=2,3,1,00:01:55,0,"0,00 %","33,33 %","0,00 US$"
/es/turismoelcristo/vuelos/resultados/MDZ/IGR/05-11-2020/?adultos=1,3,1,00:01:55,0,"0,00 %","0,00 %","0,00 US$"
/es/yaninaplos/hoteles/resultados/6792/0/orlando-estados-unidos/11-10-2021/25-10-2021?h1=4,3,1,00:02:48,0,"0,00 %","0,00 %","0,00 US$"
/es/algarroboviajesyturismo/hoteles/resultados/9622/0/ushuaia-argentina/13-01-2021/16-01-2021?h1=2&h2=2,2,1,00:00:17,0,"0,00 %","0,00 %","0,00 US$"
/es/asocmutual9dejuliofreyre/productos/detalle/43574/mendoza-rafting-cabalgata,2,1,00:07:14,0,"0,00 %","0,00 %","0,00 US$"
/es/azuaviajesyturismo/hoteles/resultados/7753/0/rio-de-janeiro-brasil/29-12-2020/02-01-2021?h1=2,2,1,00:01:27,0,"0,00 %","50,00 %","0,00 US$"
/es/caofranquiciadeonetrip/hoteles/resultados/1612/0/cartagena-colombia/06-09-2021/13-09-2021?h1=2,2,1,00:00:50,0,"0,00 %","50,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/10346/0/bayahibe-republica-dominicana/09-06-2021/16-06-2021?h1=2,2,2,00:00:31,1,"0,00 %","50,00 %","0,00 US$"
"/es/dipviajes/vuelos/resultados/BUE,USH,FTE/USH,FTE,BUE/11-01-2021,14-01-2021,17-01-2021/?adultos=2&menores=CHD",2,1,00:10:19,0,"0,00 %","0,00 %","0,00 US$"
/es/dipviajes/vuelos/resultados/BUE/BRC/24-01-2021/02-02-2021?adultos=2,2,2,00:07:23,0,"0,00 %","50,00 %","0,00 US$"
"/es/docviajes/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/08-02-2021/13-02-2021?h1=2-10,15",2,1,00:00:16,0,"0,00 %","50,00 %","0,00 US$"
/es/grupomas/hoteles/resultados/3658/0/holguin-cuba/16-06-2021/30-06-2021?h1=2,2,1,00:00:11,0,"0,00 %","50,00 %","0,00 US$"
/es/guayku/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/01-02-2021/08-02-2021?h1=1,2,2,00:00:44,0,"0,00 %","50,00 %","0,00 US$"
/es/himalayaviajescordoba/vuelos/resultados/COR/ARN/10-04-2021/?adultos=1,2,1,00:01:06,0,"0,00 %","0,00 %","0,00 US$"
