# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201031-20201101
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/comdetur/hoteles/resultados/7139/0/phuket-tailandia/19-03-2021/24-03-2021?h1=2,11,1,00:00:58,0,"0,00 %","9,09 %","0,00 US$"
/es/turismoestaciondelsol/hoteles/resultados/1441/0/buzios-brasil/11-12-2020/19-12-2020?h1=2,11,4,00:05:48,3,"0,00 %","27,27 %","0,00 US$"
/es/comdetur/hoteles/resultados/4668/0/krabi-tailandia/17-03-2021/22-03-2021?h1=2,10,1,00:02:41,0,"0,00 %","0,00 %","0,00 US$"
/es/comdetur/hoteles/resultados/743/0/bangkok-tailandia/15-03-2021/17-03-2021?h1=2,9,1,00:02:14,1,"0,00 %","0,00 %","0,00 US$"
/es/almarviajes/hoteles/resultados/6945/0/panama-city-panama/06-11-2020/09-11-2020?h1=2,8,1,00:01:48,0,"0,00 %","0,00 %","0,00 US$"
/es/onetrip/productos/detalle/795/ushuaia-clasico?tipo=productos,5,2,00:04:39,0,"0,00 %","20,00 %","0,00 US$"
/es/turismoestaciondelsol/hoteles/resultados/1441/0/buzios-brasil/11-12-2020/19-12-2020?h1=3,5,1,00:04:26,0,"0,00 %","20,00 %","0,00 US$"
/es/comdetur/hoteles/resultados/7127/0/phi-phi-island-tailandia/19-03-2021/21-03-2021?h1=2,4,1,00:03:08,0,"0,00 %","0,00 %","0,00 US$"
/es/oliviatravel/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/30-12-2020/02-01-2021?h1=2,4,1,00:05:32,0,"0,00 %","0,00 %","0,00 US$"
/es/oniriaserviciosturisticos/productos/detalle/32804/iguazu-clasico?tipo=productos,4,2,00:10:41,0,"0,00 %","0,00 %","0,00 US$"
/es/quinterosviajes/hoteles/resultados/1211/0/boston-estados-unidos/19-09-2021/22-09-2021?h1=2,4,1,00:00:30,0,"0,00 %","25,00 %","0,00 US$"
/es/almarviajes/hoteles/resultados/6945/0/panama-city-panama/09-11-2020/12-11-2020?h1=2,3,1,00:00:28,0,"0,00 %","33,33 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/10346/0/bayahibe-republica-dominicana/10-02-2021/17-02-2021?h1=2,3,1,00:06:22,0,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/10378/0/cayo-santa-maria-cuba/10-03-2021/17-03-2021?h1=2,3,1,00:07:38,0,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/10378/0/cayo-santa-maria-cuba/13-01-2021/20-01-2021?h1=2,3,1,00:00:41,0,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/9698/0/varadero-cuba/08-09-2021/15-09-2021?h1=2,3,2,00:00:53,0,"0,00 %","33,33 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/9698/0/varadero-cuba/10-03-2021/17-03-2021?h1=2,3,1,00:01:39,0,"0,00 %","0,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/9698/0/varadero-cuba/12-05-2021/19-05-2021?h1=2,3,2,00:02:02,1,"0,00 %","0,00 %","0,00 US$"
/es/onetrip/productos/detalle/32804/iguazu-clasico?tipo=productos,3,3,00:20:02,0,"0,00 %","33,33 %","0,00 US$"
/es/oniriaserviciosturisticos/vuelos/resultados/COR/IGR/17-01-2021/21-01-2021?clase=1&adultos=2&includeBaggage=false&ff-dsd-org=20-01-2021&ff-hst-org=23-01-2021&ff-imp-org=29948.934756&ff-imp-sel=20142.9496632,3,2,00:00:42,1,"0,00 %","33,33 %","0,00 US$"
/es/zeruanviajes/hoteles/resultados/5165/0/londres-london-reino-unido/15-08-2021/18-08-2021?h1=2,3,1,00:02:24,1,"0,00 %","33,33 %","0,00 US$"
/es/almarviajes/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/09-11-2020/16-11-2020?h1=2,2,1,00:05:45,0,"0,00 %","0,00 %","0,00 US$"
/es/ceibo/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/24-07-2022/31-07-2022?h1=2,2,1,00:00:15,0,"0,00 %","50,00 %","0,00 US$"
"/es/ceiboviajes/hoteles/resultados/10346/0/bayahibe-republica-dominicana/03-01-2021/13-01-2021?h1=2-17,13,8",2,1,00:00:16,0,"0,00 %","50,00 %","0,00 US$"
/es/ceiboviajes/hoteles/resultados/10346/0/bayahibe-republica-dominicana/12-05-2021/19-05-2021?h1=2,2,1,00:10:58,0,"0,00 %","0,00 %","0,00 US$"
