# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201028-20201028
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/delfos/hoteles/resultados/1441/0/buzios-brasil/10-09-2021/18-09-2021?h1=3,8,2,00:04:12,1,"100,00 %","25,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/24-07-2021/31-07-2021?h1=2,8,1,00:02:31,0,"0,00 %","12,50 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/17-04-2021/19-04-2021?h1=2,7,2,00:03:19,0,"0,00 %","28,57 %","0,00 US$"
/es/delfos/hoteles/resultados/6305/0/natal-brasil/04-01-2021/11-01-2021?h1=2,6,3,00:06:21,1,"0,00 %","33,33 %","0,00 US$"
/es/delfos/hoteles/resultados/5796/0/miami-fl-estados-unidos/09-01-2021/17-01-2021?h1=2,5,1,00:03:21,0,"0,00 %","20,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/10-12-2020/14-12-2020?h1=2&h2=2,4,2,00:02:08,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/23-03-2021/30-03-2021?h1=2,4,1,00:01:25,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/23-03-2021/30-03-2021?h1=2-2,4",4,1,00:01:04,0,"0,00 %","25,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3800/0/iguazu-argentina/10-01-2021/15-01-2021?h1=2,4,2,00:00:27,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7493/0/punta-cana-republica-dominicana/10-05-2021/17-05-2021?h1=2,4,1,00:05:14,0,"0,00 %","25,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8070/0/salvador-brasil/11-07-2021/25-07-2021?h1=2,4,1,00:00:23,0,"0,00 %","25,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8088/0/san-andres-island-colombia/05-06-2021/10-06-2021?h1=2,4,1,00:02:54,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8146/0/san-martin-de-los-andes-argentina/05-01-2021/09-01-2021?h1=2,4,2,00:08:53,0,"0,00 %","25,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/03-01-2021/10-01-2021?h1=2,3,1,00:03:51,0,"0,00 %","33,33 %","0,00 US$"
/es/delfos/hoteles/resultados/2577/0/el-calafate-argentina/22-02-2021/26-02-2021?h1=2,3,1,00:01:32,0,"0,00 %","33,33 %","0,00 US$"
/es/delfos/hoteles/resultados/3798/0/foz-de-iguazu-brasil/02-01-2021/04-01-2021?h1=2,3,2,00:00:42,0,"0,00 %","33,33 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/23-12-2020/30-12-2020?h1=2,3,1,00:01:39,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/30-04-2021/07-05-2021?h1=2,3,1,00:00:26,0,"0,00 %","33,33 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/30-12-2020/02-01-2021?h1=2,3,2,00:09:25,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/04-01-2021/07-01-2021?h1=3,3,1,00:01:26,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1441/0/buzios-brasil/10-09-2021/18-09-2021?h1=2,2,1,00:01:20,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/10-12-2020/14-12-2020?h1=2,2,2,00:00:43,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/2577/0/el-calafate-argentina/09-01-2021/12-01-2021?h1=2,2,1,00:00:56,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3535/0/havana-cuba/16-05-2021/19-05-2021?h1=2,2,1,00:00:49,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3798/0/foz-de-iguazu-brasil/04-04-2021/11-04-2021?h1=2,2,1,00:00:21,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3798/0/foz-de-iguazu-brasil/06-12-2020/10-12-2020?h1=2,2,1,00:01:09,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3798/0/foz-de-iguazu-brasil/10-03-2021/17-03-2021?h1=2,2,1,00:01:47,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/5972/0/montego-bay-jamaica/18-04-2021/29-04-2021?h1=1,2,1,00:01:00,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/6945/0/panama-city-panama/07-04-2021/09-04-2021?h1=3,2,1,00:27:27,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/04-12-2020/14-12-2020?h1=2,2,2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/05-12-2020/10-12-2020?h1=2,2,1,00:02:10,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7463/0/puerto-madryn-argentina/07-05-2021/12-05-2021?h1=2,2,1,00:01:24,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7493/0/punta-cana-republica-dominicana/08-10-2021/15-10-2021?h1=2,2,1,00:01:17,1,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7753/0/rio-de-janeiro-brasil/20-03-2021/28-03-2021?h1=2,2,1,00:06:11,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7753/0/rio-de-janeiro-brasil/22-02-2021/01-03-2021?h1=2,2,1,00:04:17,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8066/0/salta-argentina/20-02-2021/22-02-2021?h1=2-12,2,1,00:01:46,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8066/0/salta-argentina/23-01-2021/24-01-2021?h1=2,2,1,00:15:09,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8088/0/san-andres-island-colombia/05-06-2021/10-06-2021?h1=2&h2=2&h3=2&h4=2,2,1,00:14:39,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/28-12-2020/01-01-2021?h1=2,2,2,00:06:01,1,"100,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/31-01-2021/04-02-2021?h1=3&h2=2-5,2,1,00:03:03,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/9486/0/tulum-mexico/16-11-2020/21-11-2020?h1=2-8,11",2,1,00:05:33,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/32968/jujuy-quebrada?tipo=productos,2,1,00:00:41,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/43563/salta-experiencia-culinaria?tipo=productos,2,2,00:00:58,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/productos/detalle/43570/calafate-kayak-experiencia-4x4?tipo=productos,2,2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/productos/detalle/935/jujuy-clasico?tipo=productos,2,1,00:06:03,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/BUE/MDQ/01-11-2020/?adultos=1,2,2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10346/0/bayahibe-republica-dominicana/08-04-2021/15-04-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10346/0/bayahibe-republica-dominicana/09-05-2021/17-05-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10384/0/villa-la-angostura-argentina/01-01-2021/05-01-2021?h1=2,1,1,00:01:56,1,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10384/0/villa-la-angostura-argentina/07-01-2021/11-01-2021?h1=3,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/12454/0/sunny-island-estados-unidos/09-01-2021/17-01-2021?h1=2,1,1,00:05:08,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/05-12-2020/09-12-2020?h1=2,1,1,00:01:02,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/11-12-2020/15-12-2020?h1=2&h2=2,1,1,00:01:15,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1612/0/cartagena-colombia/02-06-2021/05-06-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1612/0/cartagena-colombia/02-06-2021/05-06-2021?h1=2&h2=2&h3=2&h4=2,1,1,00:05:02,1,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/2577/0/el-calafate-argentina/15-01-2021/18-01-2021?h1=2,1,1,00:03:16,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/2577/0/el-calafate-argentina/18-01-2021/21-01-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
